model_alias,model_label,pair_type,raw_current_label_effect,raw_extraction_id_effect,raw_id_advantage,mapping_balanced_current_label_effect,mapping_balanced_extraction_id_effect,mapping_balanced_id_advantage,id_advantage_reduction
gemma2_9b_it,Gemma,normal_vs_expected,0.21148161755667794,1.1311588320467207,0.9196772144900428,0.2537980267295131,0.04855104618602329,-0.2052469805434898,1.1249241950335327
gemma2_9b_it,Gemma,taboo_vs_expected,0.7307813758099521,1.7308771935877976,1.0000958177778456,0.8410917426700946,-0.6357724109181652,-1.4768641535882596,2.4769599713661052
gemma2_9b_it,Gemma,taboo_vs_normal,0.6505574297021937,1.1959646851928145,0.545407255490621,0.7578648726145426,-0.14589592924824468,-0.9037608018627873,1.4491680573534083
llama3_1_8b_instruct,Llama,normal_vs_expected,0.15966672201951346,0.4315604840715726,0.2718937620520592,-0.011176974409156375,-0.03558497130870819,-0.024407996899551816,0.296301758951611
llama3_1_8b_instruct,Llama,taboo_vs_expected,0.1096511681874593,0.6477136611938477,0.5380624930063883,0.1776038466228379,-0.1340912990272045,-0.3116951456500424,0.8497576386564307
llama3_1_8b_instruct,Llama,taboo_vs_normal,-0.035397512217362724,0.5999960866239336,0.6353935988412963,0.1984715788728661,0.025292899873521592,-0.1731786789993445,0.8085722778406408
mistral7b_instruct_v03,Mistral,normal_vs_expected,0.11391667223402432,1.4588709929514498,1.3449543207174255,-0.07687203000698771,0.13170645155367397,0.20857848156066167,1.136375839156764
mistral7b_instruct_v03,Mistral,taboo_vs_expected,0.4735069691780068,2.365412863414912,1.8919058942369051,0.2710383449281965,0.5362428335384244,0.2652044886102279,1.6267014056266773
mistral7b_instruct_v03,Mistral,taboo_vs_normal,0.4473942406475544,2.2236992489723932,1.7763050083248388,0.38103138300634565,0.42028498667336645,0.0392536036670208,1.737051404657818
qwen2_5_7b_instruct,Qwen,normal_vs_expected,1.5093454707314744,0.9747344499456058,-0.5346110207858685,1.6392919383598146,0.07261010774851052,-1.5666818306113042,1.0320708098254356
qwen2_5_7b_instruct,Qwen,taboo_vs_expected,2.7811694859782516,2.109273475163112,-0.67189601081514,3.896781060557394,-0.0040232030382698954,-3.9008042635956643,3.228908252780524
qwen2_5_7b_instruct,Qwen,taboo_vs_normal,2.3107599149801965,1.55313309434105,-0.7576268206391467,3.3557959101664085,-0.06751646977230578,-3.423312379938714,2.6656855592995674
