analysis,metric,interface,group_cluster_ci_low,group_cluster_ci_high,pair_bootstrap_ci_low,pair_bootstrap_ci_high,group_cluster_excludes_zero,pair_bootstrap_excludes_zero,decision_agrees,group_cluster_width,pair_bootstrap_width,width_ratio_group_over_pair,scope,model_alias,comparison,statistic
letter_permutation,original_slot_margin,letter_canonical,4.8529939083983,5.080133221069273,4.860985676468563,5.065133362791859,True,True,True,0.2271393126709728,0.2041476863232958,1.112622517363565,,,,
letter_permutation,original_slot_margin,letter_permutation_expected_taboo_normal,4.328490325656312,4.553822658559707,4.339581034390116,4.537840274109676,True,True,True,0.2253323329033945,0.1982592397195599,1.136554004858133,,,,
letter_permutation,original_slot_margin,letter_permutation_normal_expected_taboo,3.839296297447776,4.008724421863552,3.8490143852772407,4.004773493531789,True,True,True,0.1694281244157758,0.1557591082545482,1.087757411520931,,,,
letter_permutation,original_slot_margin,letter_permutation_normal_taboo_expected,4.8575518046387,5.105128749133656,4.862684816434366,5.096905582004472,True,True,True,0.2475769444949564,0.2342207655701056,1.0570238889465724,,,,
letter_permutation,original_slot_margin,letter_permutation_taboo_expected_normal,4.45521809070095,4.672794891975723,4.47000575751711,4.655955927256551,True,True,True,0.2175768012747729,0.1859501697394412,1.1700812189612295,,,,
letter_permutation,original_slot_margin,letter_reversed,4.602959613548658,4.821831804657963,4.608714725837135,4.815406543647391,True,True,True,0.2188721911093045,0.2066918178102561,1.0589301184153794,,,,
letter_permutation,semantic_minus_original_slot,letter_canonical,,,,,False,False,True,,,,,,,
letter_permutation,semantic_minus_original_slot,letter_permutation_expected_taboo_normal,-3.4066684031946046,-3.233351445379253,-3.406475130170357,-3.235890960003009,True,True,True,0.1733169578153517,0.170584170167348,1.0160201714222528,,,,
letter_permutation,semantic_minus_original_slot,letter_permutation_normal_expected_taboo,-3.1233966331504086,-2.9777012296150525,-3.114197037191156,-2.9851055780563494,True,True,True,0.1456954035353561,0.1290914591348064,1.1286215564672692,,,,
letter_permutation,semantic_minus_original_slot,letter_permutation_normal_taboo_expected,-3.1353996794251504,-2.918738701636416,-3.123872381082072,-2.9306608187676724,True,True,True,0.2166609777887345,0.1932115623143997,1.1213665227559062,,,,
letter_permutation,semantic_minus_original_slot,letter_permutation_taboo_expected_normal,-2.5826376974645733,-2.446310727016423,-2.57741577968628,-2.4497729525579794,True,True,True,0.1363269704481502,0.1276428271283003,1.06803471464261,,,,
letter_permutation,semantic_minus_original_slot,letter_reversed,-3.47797733733089,-3.2967817772578587,-3.461348947168393,-3.307993854060391,True,True,True,0.1811955600730312,0.1533550931080021,1.1815424998335218,,,,
letter_permutation,semantic_target_margin,letter_canonical,4.852947619345049,5.079224181219771,4.859549108671186,5.06834992933628,True,True,True,0.2262765618747213,0.2088008206650942,1.0836957496333663,,,,
letter_permutation,semantic_target_margin,letter_permutation_expected_taboo_normal,-1.3849737203448311,-1.2308317582200017,-1.3800413705978103,-1.2345543295201575,True,True,True,0.1541419621248296,0.1454870410776527,1.059489291850794,,,,
letter_permutation,semantic_target_margin,letter_permutation_normal_expected_taboo,-1.674435240692674,-1.552728170982771,-1.6692679896944982,-1.5608434717583903,True,True,True,0.1217070697099031,0.1084245179361078,1.1225050572198296,,,,
letter_permutation,semantic_target_margin,letter_permutation_normal_taboo_expected,1.2245344505191311,1.421617026873845,1.2345133892715705,1.4121689521232588,True,True,True,0.1970825763547139,0.1776555628516882,1.109352126053288,,,,
letter_permutation,semantic_target_margin,letter_permutation_taboo_expected_normal,1.2642299239035426,1.465007039163598,1.268607856455643,1.4627554747514966,True,True,True,0.2007771152600554,0.1941476182958537,1.0341466819031453,,,,
letter_permutation,semantic_target_margin,letter_reversed,0.1364279576149497,0.3162859458843046,0.1398220781587079,0.307587409331884,True,True,True,0.1798579882693549,0.1677653311731761,1.0720807869636435,,,,
factorial,semantic_margin_gain,,0.5170651320919624,0.5448615218454137,0.5181487196205574,0.5433442229290067,True,True,True,0.0277963897534513,0.0251955033084493,1.1032281996180562,all_cells,gemma2_9b_it,,
factorial,extraction_identifier_margin_gain,,1.3464597167380217,1.3589436780952653,1.3475065616545854,1.357662483861233,True,True,True,0.0124839613572436,0.0101559222066476,1.2292297147640765,all_cells,gemma2_9b_it,,
factorial,extraction_row_margin_gain,,0.0889098244438217,0.0965379619947168,0.089499481767416,0.0959848394410477,True,True,True,0.0076281375508951,0.0064853576736317,1.1762092292780957,all_cells,gemma2_9b_it,,
factorial,identifier_minus_semantics,,0.8076072357367884,0.8362033693643436,0.8093549561721308,0.8341910921037198,True,True,True,0.0285961336275551,0.0248361359315889,1.1513922176268945,all_cells,gemma2_9b_it,,
factorial,identifier_minus_row,,1.2525286724807616,1.267444626446081,1.2537186764824535,1.2661521924038728,True,True,True,0.0149159539653194,0.0124335159214192,1.1996569642560742,all_cells,gemma2_9b_it,,
factorial,semantic_margin_gain,,0.1056930563898988,0.1151120356265629,0.1064517381060638,0.1142080165491795,True,True,True,0.009418979236664,0.0077562784431157,1.214368373407756,all_cells,llama3_1_8b_instruct,,
factorial,extraction_identifier_margin_gain,,0.6648462465862104,0.673520567545999,0.6658132335470046,0.6725582213451465,True,True,True,0.0086743209597885,0.0067449877981419,1.2860395332632266,all_cells,llama3_1_8b_instruct,,
factorial,extraction_row_margin_gain,,0.1243095293607369,0.1276080247471975,0.1246769231134726,0.1272829242556551,True,True,True,0.0032984953864606,0.0026060011421824,1.265730598912231,all_cells,llama3_1_8b_instruct,,
factorial,identifier_minus_semantics,,0.5536626802987984,0.5640873856616546,0.5544173715659131,0.5632808460129631,True,True,True,0.0104247053628562,0.00886347444705,1.176142090230292,all_cells,llama3_1_8b_instruct,,
factorial,identifier_minus_row,,0.539814000111611,0.5467293248892494,0.5404879852669474,0.5459808065107574,True,True,True,0.0069153247776384,0.00549282124381,1.2589750277112146,all_cells,llama3_1_8b_instruct,,
factorial,semantic_margin_gain,,0.2337920160651323,0.2501275723005576,0.2346561273732395,0.2496553177094478,True,True,True,0.0163355562354252,0.0149991903362083,1.0890958691277437,all_cells,mistral7b_instruct_v03,,
factorial,extraction_identifier_margin_gain,,1.9655574704295804,1.98512824579971,1.968088662400152,1.983116634786819,True,True,True,0.0195707753701297,0.015027972386667,1.3022898143925965,all_cells,mistral7b_instruct_v03,,
factorial,extraction_row_margin_gain,,0.1872983922552791,0.1931416919892827,0.1877068403027491,0.192869436631646,True,True,True,0.0058432997340036,0.0051625963288969,1.131852920844618,all_cells,mistral7b_instruct_v03,,
factorial,identifier_minus_semantics,,1.7220980234619434,1.7447018535778294,1.7239230572349498,1.74283445538539,True,True,True,0.0226038301158859,0.0189113981504402,1.1952490205151594,all_cells,mistral7b_instruct_v03,,
factorial,identifier_minus_row,,1.7751115840219156,1.7952018594604986,1.7778506894595922,1.7928378589876734,True,True,True,0.0200902754385829,0.0149871695280812,1.3404983109679367,all_cells,mistral7b_instruct_v03,,
factorial,semantic_margin_gain,,2.162197086649256,2.238669961653246,2.168306154107663,2.231723439488076,True,True,True,0.0764728750039904,0.0634172853804129,1.205867998689359,all_cells,qwen2_5_7b_instruct,,
factorial,extraction_identifier_margin_gain,,1.5331472920398652,1.5581048633616383,1.5353438730522655,1.5563959528183962,True,True,True,0.0249575713217731,0.0210520797661306,1.185515711465513,all_cells,qwen2_5_7b_instruct,,
factorial,extraction_row_margin_gain,,1.2085781369345403,1.2391609035281812,1.211188729526731,1.2371341823722757,True,True,True,0.0305827665936408,0.0259454528455447,1.178733197516438,all_cells,qwen2_5_7b_instruct,,
factorial,identifier_minus_semantics,,-0.6919830146183975,-0.6166136860064036,-0.6838799604372553,-0.623686248868286,True,True,True,0.0753693286119938,0.0601937115689692,1.2521129973126277,all_cells,qwen2_5_7b_instruct,,
factorial,identifier_minus_row,,0.3057620723149414,0.3382576049042173,0.3083283819431847,0.3349887117337026,True,True,True,0.0324955325892759,0.0266603297905179,1.218872116159394,all_cells,qwen2_5_7b_instruct,,
factorial,semantic_margin_gain,,0.5162395896098723,0.5450178390394871,0.5186013730081879,0.5432280856426116,True,True,True,0.0287782494296148,0.0246267126344237,1.1685786023014697,competence_gated,gemma2_9b_it,,
factorial,extraction_identifier_margin_gain,,1.3464162891615623,1.3587748123392265,1.3475014507402607,1.3579435113541505,True,True,True,0.0123585231776639,0.0104420606138897,1.1835329859343064,competence_gated,gemma2_9b_it,,
factorial,extraction_row_margin_gain,,0.0888231890704331,0.096603000381443,0.0894188066093642,0.0959496742367376,True,True,True,0.0077798113110098,0.0065308676273733,1.1912370231486051,competence_gated,gemma2_9b_it,,
factorial,identifier_minus_semantics,,0.807255261727392,0.8364705443204385,0.8095884989441178,0.8339741392268074,True,True,True,0.0292152825930465,0.0243856402826896,1.1980527168599808,competence_gated,gemma2_9b_it,,
factorial,identifier_minus_row,,1.2525780440780157,1.2677376304251402,1.2536787241973255,1.2661607861518862,True,True,True,0.0151595863471245,0.0124820619545606,1.2145097823028783,competence_gated,gemma2_9b_it,,
factorial,semantic_margin_gain,,0.0738665704453098,0.0822161710645823,0.0745945721105845,0.0814218325540423,True,True,True,0.0083496006192725,0.0068272604434578,1.222979654639292,competence_gated,llama3_1_8b_instruct,,
