scope,model_alias,metric,mean,ci_low,ci_high,ci_excludes_zero,n_pairs,n_groups,n_contrasts,n_boot,confidence,inference_unit
competence_gated,llama3_1_8b_instruct,extraction_identifier_margin_gain,0.5597567439631179,0.555868280449694,0.5638484193662594,True,1536,827,3,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal contrast weight within model
competence_gated,llama3_1_8b_instruct,extraction_row_margin_gain,0.0881229870849185,0.086867231159726,0.0894453599557426,True,1536,827,3,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal contrast weight within model
competence_gated,llama3_1_8b_instruct,identifier_minus_semantics,0.4817832846332479,0.4764925263332247,0.4872896643497513,True,1536,827,3,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal contrast weight within model
competence_gated,llama3_1_8b_instruct,identifier_minus_row,0.4716337568781994,0.4681920198187795,0.4752890978425978,True,1536,827,3,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal contrast weight within model
competence_gated,mistral7b_instruct_v03,semantic_margin_gain,0.3449392940198619,0.3353721641987551,0.3545583244288042,True,1536,827,3,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal contrast weight within model
competence_gated,mistral7b_instruct_v03,extraction_identifier_margin_gain,2.015994368446252,2.0056547709346777,2.0262661151557086,True,1536,827,3,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal contrast weight within model
competence_gated,mistral7b_instruct_v03,extraction_row_margin_gain,0.1584569917666533,0.1554408491999407,0.1615317382292997,True,1536,827,3,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal contrast weight within model
competence_gated,mistral7b_instruct_v03,identifier_minus_semantics,1.67105507442639,1.6603277692381453,1.681634313295759,True,1536,827,3,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal contrast weight within model
competence_gated,mistral7b_instruct_v03,identifier_minus_row,1.8575373766795984,1.846790472381178,1.8679179701892987,True,1536,827,3,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal contrast weight within model
competence_gated,qwen2_5_7b_instruct,semantic_margin_gain,2.200424957229975,2.1614744525324574,2.2388205503790024,True,1536,827,3,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal contrast weight within model
competence_gated,qwen2_5_7b_instruct,extraction_identifier_margin_gain,1.5457136731499233,1.533001753807993,1.5584206302797832,True,1536,827,3,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal contrast weight within model
competence_gated,qwen2_5_7b_instruct,extraction_row_margin_gain,1.224218454863373,1.208739488853565,1.2394852677486623,True,1536,827,3,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal contrast weight within model
competence_gated,qwen2_5_7b_instruct,identifier_minus_semantics,-0.6547112840800519,-0.6927093386382639,-0.6164648262973317,True,1536,827,3,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal contrast weight within model
competence_gated,qwen2_5_7b_instruct,identifier_minus_row,0.3214952182865496,0.3049648927463382,0.3381485785446833,True,1536,827,3,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal contrast weight within model
