mapping_name,mapping_family,mode,n_models,n_contrasts,mean_current_label_gain,mean_extraction_identifier_gain,mean_current_minus_identifier,mean_js_shift
canonical_taboo_normal_expected,semantic_words,mean_local_gradient_norm_matched,4,3,0.5958267502273884,0.5958267502273884,,0.33668781360928474
canonical_taboo_normal_expected,semantic_words,rank1_local_gradient_norm_matched,4,3,0.5696746063400107,0.5696746063400107,,0.319097622759885
canonical_taboo_normal_expected,semantic_words,raw_canonical_direction,4,3,0.30489549436212354,0.30489549436212354,,0.15399008697147218
canonical_taboo_normal_expected,semantic_words,readout_projection_norm_matched,4,3,0.549903374138618,0.549903374138618,,0.3501079974675094
canonical_taboo_normal_expected,semantic_words,unembedding_difference_norm_matched,4,3,0.18100495314956788,0.18100495314956788,,0.0758073310124422
permutation_expected_taboo_normal,semantic_words,mean_local_gradient_norm_matched,4,3,-0.13582328600825766,0.33974585043696237,-0.47556913644522,0.1953731998766917
permutation_expected_taboo_normal,semantic_words,rank1_local_gradient_norm_matched,4,3,-0.13048386271846338,0.3250043671240872,-0.4554882298425506,0.18885261408984153
permutation_expected_taboo_normal,semantic_words,raw_canonical_direction,4,3,-0.034918531843743494,0.18384528926327448,-0.21876382110701798,0.10319868095141087
permutation_expected_taboo_normal,semantic_words,readout_projection_norm_matched,4,3,-0.07770288994638956,0.3066762392942361,-0.3843791292406256,0.2130136005558548
permutation_expected_taboo_normal,semantic_words,unembedding_difference_norm_matched,4,3,-0.0607921959728479,0.12936848901478012,-0.19016068498762806,0.05360432368022533
permutation_normal_expected_taboo,semantic_words,mean_local_gradient_norm_matched,4,3,-0.14475462664125174,0.411315594324454,-0.5560702209657058,0.23339712239125052
permutation_normal_expected_taboo,semantic_words,rank1_local_gradient_norm_matched,4,3,-0.14196005529855002,0.3914078777799717,-0.5333679330785218,0.21790156376804296
permutation_normal_expected_taboo,semantic_words,raw_canonical_direction,4,3,-0.05238456893766852,0.19744639433580838,-0.2498309632734769,0.0944328841644676
permutation_normal_expected_taboo,semantic_words,readout_projection_norm_matched,4,3,-0.1459957435319836,0.38877617650602286,-0.5347719200380064,0.22225185615102416
permutation_normal_expected_taboo,semantic_words,unembedding_difference_norm_matched,4,3,-0.06565626473873937,0.15087511451080596,-0.21653137924954535,0.06083023411620709
permutation_normal_taboo_expected,semantic_words,mean_local_gradient_norm_matched,4,3,0.1380674837186484,0.41077601848313766,-0.3858124257719917,0.2581511643205038
permutation_normal_taboo_expected,semantic_words,rank1_local_gradient_norm_matched,4,3,0.13202413677539374,0.3944185400596518,-0.37468823668466805,0.24788813079211613
permutation_normal_taboo_expected,semantic_words,raw_canonical_direction,4,3,0.059475783616714274,0.23418720854351704,-0.24172157702802602,0.13427042550580062
permutation_normal_taboo_expected,semantic_words,readout_projection_norm_matched,4,3,0.12095173069417342,0.3908244893604831,-0.4070464586946419,0.2740147254982087
permutation_normal_taboo_expected,semantic_words,unembedding_difference_norm_matched,4,3,0.028190466533696206,0.16138916155462843,-0.1915091515057649,0.06867877232926685
permutation_taboo_expected_normal,semantic_words,mean_local_gradient_norm_matched,4,3,0.0543131749866692,0.5148513490154679,-0.6698180901155517,0.28461465040385675
permutation_taboo_expected_normal,semantic_words,rank1_local_gradient_norm_matched,4,3,0.04762731020354142,0.4879640957920793,-0.6311617124817192,0.2640684188634492
permutation_taboo_expected_normal,semantic_words,raw_canonical_direction,4,3,0.08957158762950712,0.26138413431726804,-0.22055987170824665,0.1309542148686311
permutation_taboo_expected_normal,semantic_words,readout_projection_norm_matched,4,3,0.1636332734964109,0.4726894294387118,-0.4021756271993695,0.2936373581006091
permutation_taboo_expected_normal,semantic_words,unembedding_difference_norm_matched,4,3,-0.030856784243951555,0.16464194866239265,-0.2781270137669101,0.06957782132653074
reversed_expected_normal_taboo,semantic_words,mean_local_gradient_norm_matched,4,3,0.042360812213297905,0.40761195804619393,-0.5444636529716961,0.21524353818569475
reversed_expected_normal_taboo,semantic_words,rank1_local_gradient_norm_matched,4,3,0.041582853038808786,0.3929346285760049,-0.5303114539305082,0.20928514256082906
reversed_expected_normal_taboo,semantic_words,raw_canonical_direction,4,3,0.027843371658794542,0.1984227207015389,-0.24874722165907315,0.08819518539322613
reversed_expected_normal_taboo,semantic_words,readout_projection_norm_matched,4,3,0.015961114191507406,0.3921262284943623,-0.5797002323252798,0.21657025944046118
reversed_expected_normal_taboo,semantic_words,unembedding_difference_norm_matched,4,3,0.02166040214952621,0.15303418298102162,-0.1858425312024868,0.05681866672016366
