model_alias,model_name,pair_type,baseline_mode,reference_mode,cosine
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_normal,unembedding_difference_norm_matched,raw_canonical_direction,0.1770799059984229
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_normal,unembedding_difference_norm_matched,readout_projection_norm_matched,0.2009997101134371
gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,mean_local_gradient_norm_matched,raw_canonical_direction,0.3692553545190827
gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,mean_local_gradient_norm_matched,readout_projection_norm_matched,0.9066868697664382
gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,rank1_local_gradient_norm_matched,raw_canonical_direction,0.3531619520919119
gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,rank1_local_gradient_norm_matched,readout_projection_norm_matched,0.86683999359768
gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,unembedding_difference_norm_matched,raw_canonical_direction,0.1409428500827897
gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,unembedding_difference_norm_matched,readout_projection_norm_matched,0.3226257528578326
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,mean_local_gradient_norm_matched,raw_canonical_direction,0.3119650582595105
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,mean_local_gradient_norm_matched,readout_projection_norm_matched,0.7972651354824261
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,rank1_local_gradient_norm_matched,raw_canonical_direction,0.3117027292607049
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,rank1_local_gradient_norm_matched,readout_projection_norm_matched,0.7970857530917034
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,unembedding_difference_norm_matched,raw_canonical_direction,0.1394857076788475
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,unembedding_difference_norm_matched,readout_projection_norm_matched,0.2494776004076229
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,mean_local_gradient_norm_matched,raw_canonical_direction,0.2798430413155612
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,mean_local_gradient_norm_matched,readout_projection_norm_matched,0.6604162599211442
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,rank1_local_gradient_norm_matched,raw_canonical_direction,0.2586506885977215
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,rank1_local_gradient_norm_matched,readout_projection_norm_matched,0.6114669281793045
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,unembedding_difference_norm_matched,raw_canonical_direction,0.1235262774456069
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,unembedding_difference_norm_matched,readout_projection_norm_matched,0.2821719464322558
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,normal_vs_expected,mean_local_gradient_norm_matched,raw_canonical_direction,0.2714423735661152
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,normal_vs_expected,mean_local_gradient_norm_matched,readout_projection_norm_matched,0.8586864677948233
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,normal_vs_expected,rank1_local_gradient_norm_matched,raw_canonical_direction,0.2645834905864778
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,normal_vs_expected,rank1_local_gradient_norm_matched,readout_projection_norm_matched,0.8372329208351308
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,normal_vs_expected,unembedding_difference_norm_matched,raw_canonical_direction,0.1918871352731788
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,normal_vs_expected,unembedding_difference_norm_matched,readout_projection_norm_matched,0.4398514705806359
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_expected,mean_local_gradient_norm_matched,raw_canonical_direction,0.2996855581623104
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_expected,mean_local_gradient_norm_matched,readout_projection_norm_matched,0.8979060606966475
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_expected,rank1_local_gradient_norm_matched,raw_canonical_direction,0.3000437234792765
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_expected,rank1_local_gradient_norm_matched,readout_projection_norm_matched,0.8986933724960112
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_expected,unembedding_difference_norm_matched,raw_canonical_direction,0.2222177297768829
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_expected,unembedding_difference_norm_matched,readout_projection_norm_matched,0.3471644989979249
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_normal,mean_local_gradient_norm_matched,raw_canonical_direction,0.3272460917583635
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_normal,mean_local_gradient_norm_matched,readout_projection_norm_matched,0.9609489152403984
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_normal,rank1_local_gradient_norm_matched,raw_canonical_direction,0.3217905405668397
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_normal,rank1_local_gradient_norm_matched,readout_projection_norm_matched,0.9447559088619636
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_normal,unembedding_difference_norm_matched,raw_canonical_direction,0.2485798945590049
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_normal,unembedding_difference_norm_matched,readout_projection_norm_matched,0.3278489269171983
