model_alias,model_name,mapping_name,mapping_family,mode,n_pairs,n_pair_types,n_pairs_with_moved_targets,semantic_accuracy_gain_mean,semantic_accuracy_gain_ci_low,semantic_accuracy_gain_ci_high,semantic_accuracy_gain_n,original_letter_accuracy_gain_mean,original_letter_accuracy_gain_ci_low,original_letter_accuracy_gain_ci_high,original_letter_accuracy_gain_n,semantic_prob_gain_mean,semantic_prob_gain_ci_low,semantic_prob_gain_ci_high,semantic_prob_gain_n,original_letter_prob_gain_mean,original_letter_prob_gain_ci_low,original_letter_prob_gain_ci_high,original_letter_prob_gain_n,moved_semantic_accuracy_gain_mean,moved_semantic_accuracy_gain_ci_low,moved_semantic_accuracy_gain_ci_high,moved_semantic_accuracy_gain_n,moved_original_letter_accuracy_gain_mean,moved_original_letter_accuracy_gain_ci_low,moved_original_letter_accuracy_gain_ci_high,moved_original_letter_accuracy_gain_n,moved_semantic_prob_gain_mean,moved_semantic_prob_gain_ci_low,moved_semantic_prob_gain_ci_high,moved_semantic_prob_gain_n,moved_original_letter_prob_gain_mean,moved_original_letter_prob_gain_ci_low,moved_original_letter_prob_gain_ci_high,moved_original_letter_prob_gain_n,semantic_minus_original_prob_gain_moved_mean,semantic_minus_original_prob_gain_moved_ci_low,semantic_minus_original_prob_gain_moved_ci_high,semantic_minus_original_prob_gain_moved_n,semantic_minus_original_accuracy_gain_moved_mean,semantic_minus_original_accuracy_gain_moved_ci_low,semantic_minus_original_accuracy_gain_moved_ci_high,semantic_minus_original_accuracy_gain_moved_n,js_shift_mean,js_shift_ci_low,js_shift_ci_high,js_shift_n
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_normal_expected_taboo,semantic_words,rank1_local_gradient_norm_matched,384,3,384,0.0104166666666666,-0.015625,0.0364583333333333,384,0.3450520833333333,0.31640625,0.3723958333333333,384,0.0332423695021265,0.0148743877553795,0.0515665414699871,384,0.2646397886596716,0.2445960549043666,0.2836106903847927,384,0.0104166666666666,-0.0143554687499998,0.0364583333333333,384,0.3450520833333333,0.31640625,0.3723958333333333,384,0.0332423695021265,0.0148668877335766,0.0515250628455284,384,0.2646397886596716,0.2448636535256823,0.2849041897846047,384,-0.231397419157545,-0.2617337553917059,-0.2000522860124056,384,-0.3346354166666667,-0.3802083333333333,-0.2890625,384,0.2142644364764728,0.2012874252450827,0.2275630382866824,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_normal_expected_taboo,semantic_words,unembedding_difference_norm_matched,384,3,384,0.0026041666666666,-0.00390625,0.0104166666666666,384,0.02734375,0.015625,0.0403645833333333,384,-0.0111020436230925,-0.0141465030595024,-0.0081569343595826,384,0.0304654302890412,0.0260551130001355,0.0353650579675256,384,0.0026041666666666,-0.0052083333333333,0.0104166666666666,384,0.02734375,0.0169270833333333,0.0403645833333333,384,-0.0111020436230925,-0.0141062241818265,-0.0082257520240015,384,0.0304654302890412,0.025851285122917,0.0351944019775449,384,-0.0415674739121338,-0.048061733255857,-0.0355283974976979,384,-0.0247395833333333,-0.0403645833333333,-0.0104166666666666,384,0.0051037102056465,0.0043326731267393,0.0059415850027204,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_expected_taboo_normal,semantic_words,mean_local_gradient_norm_matched,384,3,384,-0.0221354166666666,-0.0481770833333333,0.00390625,384,0.1940104166666666,0.1640625,0.22265625,384,-0.0051957680867705,-0.0244191288145103,0.0141068631032114,384,0.1902120991292974,0.1699320547189617,0.2099322812161915,384,-0.0221354166666666,-0.0481770833333333,0.00390625,384,0.1940104166666666,0.1653645833333333,0.2226562499999999,384,-0.0051957680867705,-0.0245042867144798,0.0131667014964041,384,0.1902120991292974,0.169334612696065,0.2109570552329416,384,-0.195407867216068,-0.2286568023516701,-0.1621917127734913,384,-0.2161458333333333,-0.265625,-0.1692382812500004,384,0.1773937849158014,0.1634458118002715,0.1916742869266107,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_expected_taboo_normal,semantic_words,rank1_local_gradient_norm_matched,384,3,384,-0.0338541666666666,-0.0598958333333333,-0.0091145833333333,384,0.1901041666666666,0.16015625,0.2200520833333333,384,6.274389933243659e-06,-0.0194859354108186,0.018924572602377,384,0.164858732567447,0.1441362435596675,0.1862316589760626,384,-0.0338541666666666,-0.0598958333333333,-0.0078125,384,0.1901041666666666,0.1614583333333333,0.2200520833333333,384,6.274389933243659e-06,-0.0191916969442087,0.0186565088390387,384,0.164858732567447,0.1438960932806235,0.1862003892108809,384,-0.1648524581775138,-0.1996186975111122,-0.1299478735243016,384,-0.2239583333333333,-0.2721354166666667,-0.1783528645833337,384,0.1668290255240321,0.1528768064673973,0.1807585930100319,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_expected_taboo_normal,semantic_words,unembedding_difference_norm_matched,384,3,384,-0.0065104166666666,-0.0169270833333333,0.0026041666666666,384,-0.0013020833333333,-0.01171875,0.0091145833333333,384,-0.0072802636551093,-0.0110014800299882,-0.0038489987534973,384,0.0049054614630676,0.0016442272795624,0.007957766552721,384,-0.0065104166666666,-0.0169270833333333,0.0026041666666666,384,-0.0013020833333333,-0.01171875,0.0091145833333333,384,-0.0072802636551093,-0.0111180402887825,-0.0038922812058273,384,0.0049054614630676,0.0018178185868445,0.0080811512056773,384,-0.012185725118177,-0.0181384039685416,-0.0066394855958103,384,-0.0052083333333333,-0.0247395833333333,0.01171875,384,0.0030849560916931,0.0023200213411029,0.0039578939587746,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,reversed_expected_normal_taboo,semantic_words,mean_local_gradient_norm_matched,384,3,384,0.1484375,0.1223958333333333,0.1744791666666666,384,0.31640625,0.28515625,0.34765625,384,0.1476007814978643,0.1280823375078312,0.1671500129561787,384,0.3195415100550842,0.2956210789945543,0.3427022962519003,384,0.0091145833333333,-0.0208333333333333,0.0390625,384,0.2526041666666667,0.2135416666666666,0.29296875,384,0.0140137597352136,-0.0057564857046423,0.0331200871778136,384,0.2618830255717815,0.2319943753059002,0.2922152684344837,384,-0.2478692658365678,-0.2849288647651256,-0.2108201885483248,384,-0.2434895833333333,-0.2994791666666667,-0.1875,384,0.2164980979129541,0.1995107303928867,0.2333990369968817,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,reversed_expected_normal_taboo,semantic_words,rank1_local_gradient_norm_matched,384,3,384,0.125,0.1002604166666666,0.1510416666666666,384,0.3125,0.2786458333333333,0.3463541666666666,384,0.1444676539182789,0.1254020307305685,0.1634690827668843,384,0.2769776696337835,0.2529996147920868,0.300337713903126,384,-0.0234375,-0.0494791666666666,0.0013020833333333,384,0.2760416666666667,0.234375,0.3177083333333333,384,0.0099960171016088,-0.0071396723868929,0.0270663545385105,384,0.231142640633435,0.2014202635963392,0.2618635464823766,384,-0.2211466235318261,-0.2581762189450589,-0.1858173415091,384,-0.2994791666666667,-0.3528645833333333,-0.24609375,384,0.2057576691016707,0.1896736484443116,0.2217264956698307,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,reversed_expected_normal_taboo,semantic_words,unembedding_difference_norm_matched,384,3,384,0.0169270833333333,0.0065104166666666,0.02734375,384,0.0325520833333333,0.0208007812500001,0.0455729166666666,384,0.0124881370855594,0.0089715338052144,0.0161026427743289,384,0.0371833477699207,0.0330030295928281,0.0415515629444901,384,0.0065104166666666,-0.00390625,0.0182291666666666,384,0.02734375,0.0130208333333333,0.04296875,384,0.0025801305305321,-0.0008248677333995,0.005864469249163,384,0.0358120655473612,0.0302680771599928,0.0415041595090466,384,-0.033231935016829,-0.0404611606034582,-0.0266023594313386,384,-0.0208333333333333,-0.0403645833333333,-0.0026041666666666,384,0.0053611510236488,0.0047059741192274,0.0060419441706712,384
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,canonical_taboo_normal_expected,semantic_words,mean_local_gradient_norm_matched,384,3,0,0.6861979166666666,0.65625,0.71484375,384,0.6861979166666666,0.6575520833333334,0.71484375,384,0.4503765404224396,0.4411745339632034,0.4596816432972749,384,0.4503765404224396,0.44102929631869,0.4600619142254193,384,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.1643113725880792,0.1585570422880466,0.1700950698828087,384
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,canonical_taboo_normal_expected,semantic_words,rank1_local_gradient_norm_matched,384,3,0,0.6861979166666666,0.6575520833333334,0.71484375,384,0.6861979166666666,0.6575520833333333,0.7135416666666667,384,0.4502163231372833,0.4405018438895543,0.4594824602206547,384,0.4502163231372833,0.4405180801947912,0.4593268267810345,384,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.1640917618089346,0.1583895111779981,0.1699269624158808,384
