metric,model_alias,model_name,pair_type,interface,random_seed,n_pairs,mean_adjusted_gain,adjusted_gain_sd,positive_pair_rate,standardized_detectability
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_canonical,29,512,5.828201532363892,1.120222188870445,1.0,5.202719237547553
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_canonical,47,512,5.313660224278768,1.154717454291854,1.0,4.601697328232941
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_canonical,71,512,5.341929992039998,1.1457043404891911,1.0,4.662572884867581
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_canonical,101,512,5.345119873682658,1.1526005662688394,1.0,4.637443386815004
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_expected_taboo_normal,13,512,3.5091996987660727,0.8501462991731027,1.0,4.12775977755747
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_expected_taboo_normal,29,512,3.859858512878418,0.8913107762384471,1.0,4.330541732220472
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_expected_taboo_normal,47,512,3.6497840086619058,0.7705196579735175,1.0,4.736782469977356
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_expected_taboo_normal,71,512,3.5047785441080728,0.8194903042394098,1.0,4.276778536581892
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_expected_taboo_normal,101,512,3.6029847462972007,0.7729575114108034,1.0,4.66129728103816
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_normal_expected_taboo,13,512,3.62974214553833,1.0643884218379782,1.0,3.410166881814176
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_normal_expected_taboo,29,512,3.765304247538249,1.0023088276607657,1.0,3.7566308343566015
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_normal_expected_taboo,47,512,3.4449068705240884,0.962226314137896,1.0,3.58014203094263
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_normal_expected_taboo,71,512,3.453600565592448,0.9707572224277836,1.0,3.557635715503901
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_normal_expected_taboo,101,512,3.516849835713705,0.9357362695490185,1.0,3.758377173312587
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_normal_taboo_expected,13,512,4.448778549830119,0.900273567189629,1.0,4.941585215833679
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_normal_taboo_expected,29,512,4.722369988759358,0.9847595777752896,1.0,4.795454743814584
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_normal_taboo_expected,47,512,4.436313947041829,0.8566322896695485,1.0,5.1787844102318
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_normal_taboo_expected,71,512,4.318864107131958,0.908674714318182,1.0,4.752926475314754
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_normal_taboo_expected,101,512,4.400103727976481,0.829461517903541,1.0,5.30477138842766
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_taboo_expected_normal,13,512,4.89298955599467,1.1080017686301304,1.0,4.416048506893703
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_taboo_expected_normal,29,512,5.561797062555949,1.0711851315146244,1.0,5.192190312324193
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_taboo_expected_normal,47,512,5.002101898193359,1.0589570216202948,1.0,4.723611814330024
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_taboo_expected_normal,71,512,5.095704078674316,1.0709134607403692,1.0,4.758278110680796
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_permutation_taboo_expected_normal,101,512,5.046469847361247,1.0821658743259115,1.0,4.663305290886877
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_reversed,13,512,3.0814455350240078,0.8978437887485178,1.0,3.432050846304966
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_reversed,29,512,3.3979783058166504,0.8775481246971323,1.0,3.8721275907112136
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_reversed,47,512,3.0306459267934165,0.8757148086127121,1.0,3.4607681598927145
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_reversed,71,512,3.072036107381185,0.8449064792535524,1.0,3.6359480993627007
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,letter_reversed,101,512,3.141423066457113,0.8507398533605227,1.0,3.6925777651630174
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_canonical,13,512,3.838188648223877,1.0131026494223505,1.0,3.788548623786869
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_canonical,29,512,3.706135272979736,0.9792187950505478,1.0,3.784787722327597
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,letter_canonical,47,512,3.762747367223104,0.9927446471334636,1.0,3.790246946269602
