scope,identifier_set,component,metric,estimate,ci_low,ci_high,n_groups,n_unique_pairs,n_model_contrast_mapping_strata,confidence,n_boot,inference_unit
vocabulary_competence,letters_abc,raw,id_advantage,2.5834458799046627,2.524390533398054,2.6460732187674734,319,384,51,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_abc,projection,extraction_identifier_effect,3.093843022973149,3.06881506253377,3.1184953197404766,319,384,51,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_abc,projection,current_label_effect,0.42364506913787303,0.3802550906481095,0.4654688705956683,319,384,51,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_abc,projection,id_advantage,2.670197953835276,2.6189649859427098,2.7236710703381575,319,384,51,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_abc,residual,extraction_identifier_effect,0.08983191965586122,0.0798270745617222,0.09996764951171438,319,384,51,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_abc,residual,current_label_effect,0.2373923965474116,0.22883424955161308,0.24579868314878567,319,384,51,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_abc,residual,id_advantage,-0.14756047689155036,-0.162509528078821,-0.13239624285800777,319,384,51,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_xyz,raw,extraction_identifier_effect,1.4236706135173638,1.3997808334889734,1.4480325187176188,319,384,42,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_xyz,raw,current_label_effect,1.008344213589139,0.9607285480177439,1.0550717998892223,319,384,42,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_xyz,raw,id_advantage,0.41532639992822495,0.35741483055113027,0.47493074945347036,319,384,42,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_xyz,projection,extraction_identifier_effect,1.3316237017334926,1.3129629529407445,1.3509274669555786,319,384,42,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_xyz,projection,current_label_effect,0.6776763923421857,0.6400238258951055,0.7142296412796967,319,384,42,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_xyz,projection,id_advantage,0.653947309391307,0.6094791941789431,0.6996383839988615,319,384,42,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_xyz,residual,extraction_identifier_effect,0.08435125320795037,0.0715485985855918,0.09736994014990008,319,384,42,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_xyz,residual,current_label_effect,0.32845127216673325,0.31722327162423064,0.3398724342982798,319,384,42,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_xyz,residual,id_advantage,-0.24410001895878286,-0.26446360453593637,-0.22388886956450768,319,384,42,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,numbers_123,raw,extraction_identifier_effect,0.35418047703957806,0.34847636292260586,0.3598168587700474,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,numbers_123,raw,current_label_effect,0.032520788341450196,0.02752616220662393,0.03742540731426941,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,numbers_123,raw,id_advantage,0.3216596886981279,0.31312620590538975,0.3303891621466804,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,numbers_123,projection,extraction_identifier_effect,0.26529706304427236,0.26114620141394923,0.2695225691341923,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,numbers_123,projection,current_label_effect,0.017933353028881053,0.013337973256397477,0.022585305402277593,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,numbers_123,projection,id_advantage,0.2473637100153913,0.24009346747328583,0.2548557195310295,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,numbers_123,residual,extraction_identifier_effect,0.09391843410364041,0.09123106495894497,0.09658464308475753,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
