model_alias,model_name,comparison,interface,mean_adjusted_gain,mean_paired_standardized_gain,median_paired_standardized_gain,min_paired_standardized_gain,max_paired_standardized_gain,mean_positive_pair_rate,n_positive_cells,n_model_contrast_seed_cells,n_contrasts,seed_sd_paired_standardized_gain,n_random_seeds,random_seed_aggregation,interface_label,comparison_label,model_label
gemma2_9b_it,google/gemma-2-9b-it,mapping_balanced_minus_random,opaque_completion,0.7891300151745478,2.765910677457109,3.179433565787132,0.1279348358866762,5.449949891260483,0.8755208333333333,15,15,3,0.31924191678928227,5,equal_mean_over_five_draws,Opaque codewords,Mapping-balanced minus random,Gemma
gemma2_9b_it,google/gemma-2-9b-it,mapping_balanced_minus_random,letter_canonical,-0.20745144420199926,-0.7933080513865994,-0.9079472863998532,-2.557496925816406,0.3919564733821318,0.28346354166666665,5,15,3,0.3067667271729562,5,equal_mean_over_five_draws,Original letters,Mapping-balanced minus random,Gemma
gemma2_9b_it,google/gemma-2-9b-it,mapping_balanced_minus_random,letter_reversed,0.8882347848680284,2.556276588798314,2.8106897637714905,0.399872396001969,4.01996569364199,0.94765625,15,15,3,0.4048663041978179,5,equal_mean_over_five_draws,Reversed letters,Mapping-balanced minus random,Gemma
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,mapping_balanced_minus_random,direct_label_completion,1.1395592212677002,5.845276476993943,5.12847260106801,2.653333461266567,9.98337951201786,1.0,15,15,3,0.3954532394188661,5,equal_mean_over_five_draws,Direct labels,Mapping-balanced minus random,Llama
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,mapping_balanced_minus_random,opaque_completion,0.3494214536075661,3.1780957724249363,3.183153506314561,0.8149887953649643,5.078689887422509,0.9725260416666667,15,15,3,0.15841692658114875,5,equal_mean_over_five_draws,Opaque codewords,Mapping-balanced minus random,Llama
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,mapping_balanced_minus_random,letter_canonical,0.025493210678299263,0.33552994195787084,0.2440833911021079,-0.4791270935688522,1.5793306752444085,0.5967447916666667,10,15,3,0.18764853117796212,5,equal_mean_over_five_draws,Original letters,Mapping-balanced minus random,Llama
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,mapping_balanced_minus_random,letter_reversed,-0.040502613120608884,0.522928128399434,0.5495016312345465,-1.580980057782255,3.905210145017792,0.5713541666666667,10,15,3,0.291974496622392,5,equal_mean_over_five_draws,Reversed letters,Mapping-balanced minus random,Llama
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,mapping_balanced_minus_random,direct_label_completion,3.0501239346133335,7.41888040012825,7.238585095327361,5.774631744567001,9.504479220151763,1.0,15,15,3,0.28395876285414,5,equal_mean_over_five_draws,Direct labels,Mapping-balanced minus random,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,mapping_balanced_minus_random,opaque_completion,0.4729051018098189,0.6282096104122633,2.202810673531728,-5.026265769626693,2.6875698819024354,0.6727864583333333,10,15,3,0.42427468530736456,5,equal_mean_over_five_draws,Opaque codewords,Mapping-balanced minus random,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,mapping_balanced_minus_random,letter_canonical,1.3613657004303403,2.809531996142058,3.1490162883249995,0.1230617896611392,4.183293404000686,0.9584635416666667,15,15,3,0.43233656279789145,5,equal_mean_over_five_draws,Original letters,Mapping-balanced minus random,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,mapping_balanced_minus_random,letter_reversed,-1.0633884218004015,-2.165365460177709,-3.548260124796994,-4.932442201855882,3.225325769564859,0.29778645833333334,5,15,3,0.2308906975054678,5,equal_mean_over_five_draws,Reversed letters,Mapping-balanced minus random,Mistral
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,mapping_balanced_minus_random,direct_label_completion,7.2056377987687785,4.841999918870338,5.052478909115347,3.2484563776776705,6.060836761592346,1.0,15,15,3,0.1308346248522,5,equal_mean_over_five_draws,Direct labels,Mapping-balanced minus random,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,mapping_balanced_minus_random,opaque_completion,3.344746894244518,4.367077024601512,3.9077805419919134,3.387781200321465,5.937346198780912,1.0,15,15,3,0.101802742729808,5,equal_mean_over_five_draws,Opaque codewords,Mapping-balanced minus random,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,mapping_balanced_minus_random,letter_canonical,3.9802110756850904,3.574817213329204,2.866581099733409,2.428813977355243,5.522242820847068,0.994140625,15,15,3,0.15420141257628447,5,equal_mean_over_five_draws,Original letters,Mapping-balanced minus random,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,mapping_balanced_minus_random,letter_reversed,4.814694524038997,3.930242631485769,3.582547608799509,2.590426663792353,5.999064520987711,0.9984375,15,15,3,0.2701692243756086,5,equal_mean_over_five_draws,Reversed letters,Mapping-balanced minus random,Qwen
gemma2_9b_it,google/gemma-2-9b-it,raw_minus_random,direct_label_completion,3.3152860151396855,5.9540499980444626,3.7757498288786393,2.825358726065387,12.098188530518938,1.0,15,15,3,0.423850350890285,5,equal_mean_over_five_draws,Direct labels,Raw minus random,Gemma
gemma2_9b_it,google/gemma-2-9b-it,raw_minus_random,opaque_completion,0.9615517321560119,4.113130860981887,2.344847715054239,0.7265686158356975,10.174446131378245,0.9592447916666667,15,15,3,0.5889201604485689,5,equal_mean_over_five_draws,Opaque codewords,Raw minus random,Gemma
gemma2_9b_it,google/gemma-2-9b-it,raw_minus_random,letter_canonical,4.111773761113485,4.611665001588615,4.7020902792299815,3.4209675153478485,5.834855542729997,1.0,15,15,3,0.08864254689950984,5,equal_mean_over_five_draws,Original letters,Raw minus random,Gemma
