scope,model_alias,metric,mean,ci_low,ci_high,ci_excludes_zero,n_pairs,n_groups,n_model_contrast_strata,n_boot,confidence,selection_uses_steered_outcomes,inference_unit
all_six_abc_both_endpoints_correct,llama3_1_8b_instruct,extraction_row_margin_gain,0.0962110228905892,0.0897129463130459,0.1028803077481738,True,104,93,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_both_endpoints_correct,llama3_1_8b_instruct,identifier_minus_semantics,0.4600081731456651,0.4424712677993613,0.4791011198167808,True,104,93,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_both_endpoints_correct,llama3_1_8b_instruct,identifier_minus_row,0.4912339083769224,0.4807112219829941,0.5034692482266118,True,104,93,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_both_endpoints_correct,mistral7b_instruct_v03,semantic_margin_gain,0.5732879543360508,0.5502010400733943,0.5952780069886171,True,72,67,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_both_endpoints_correct,mistral7b_instruct_v03,extraction_identifier_margin_gain,2.096614220365225,2.061282629724173,2.132456275841148,True,72,67,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_both_endpoints_correct,mistral7b_instruct_v03,extraction_row_margin_gain,0.1304863711653703,0.1148059342257487,0.1468818632766459,True,72,67,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_both_endpoints_correct,mistral7b_instruct_v03,identifier_minus_semantics,1.523326266029174,1.486628706402415,1.559694688017406,True,72,67,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_both_endpoints_correct,mistral7b_instruct_v03,identifier_minus_row,1.9661278491998548,1.9290434578303364,2.00461861190187,True,72,67,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_both_endpoints_correct,qwen2_5_7b_instruct,semantic_margin_gain,2.6482412844280794,2.582437211150846,2.7165460198675135,True,161,137,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_both_endpoints_correct,qwen2_5_7b_instruct,extraction_identifier_margin_gain,1.731198603827601,1.701603189778073,1.7629611104512453,True,161,137,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_both_endpoints_correct,qwen2_5_7b_instruct,extraction_row_margin_gain,1.3246377312604225,1.2895195561229051,1.3610077396348734,True,161,137,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_both_endpoints_correct,qwen2_5_7b_instruct,identifier_minus_semantics,-0.9170426806004784,-0.9748856251958262,-0.8599071179215021,True,161,137,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_both_endpoints_correct,qwen2_5_7b_instruct,identifier_minus_row,0.4065608725671789,0.3682438471711348,0.4452862542073827,True,161,137,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
all_six_abc_high_confidence,gemma2_9b_it,semantic_margin_gain,0.7646183718608501,0.749790779894993,0.7802284257587805,True,70,64,3,5000,0.95,False,setting_behavior_group; competence selected from unsteered predictions; equal model-contrast weight
