model_alias,model_name,model_label,n_contrasts,retention_ratio_min,retention_ratio_mean,retention_ratio_max,rescale_factor_min,rescale_factor_max,max_norm_match_absolute_error
gemma2_9b_it,google/gemma-2-9b-it,Gemma,3,0.7379259264545894,0.7422893625872117,0.7477879774847195,1.2738878528073327,1.29238129414326,0.0
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,Llama,3,0.6521085700264234,0.6771684063528903,0.7236636089502765,1.3678158407464185,1.4720458745829057,4.76837158203125e-07
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,Mistral,3,0.7781033088164178,0.7885178724309504,0.7965013552175694,1.2672932221523867,1.3890650485299032,4.76837158203125e-07
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,Qwen,3,0.7799941099408075,0.784807128260861,0.7943977061465372,1.250171896171693,1.3081438533139746,3.814697272730427e-06
