comparison,interface,mean_adjusted_gain,mean_paired_standardized_gain,median_paired_standardized_gain,min_paired_standardized_gain,max_paired_standardized_gain,mean_random_scale_standardized_gain,mean_positive_pair_rate,n_positive_strata,n_strata,n_models,n_contrasts,interface_label,comparison_label
label_only_minus_random,direct_label_completion,2.7105964026672558,6.44103949097912,6.398827377034955,2.097056650722456,12.27014779904024,21.782078126273436,0.9990234375,12,12,4,3,Direct labels,Label-only minus random
label_only_minus_random,opaque_completion,0.2856856378675729,1.9519685734068415,2.126018385142032,-0.5908081539915508,4.679202796842452,3.880769546091893,0.8230794270833334,10,12,4,3,Opaque codewords,Label-only minus random
label_only_minus_random,letter_canonical,0.1450276600921319,0.804734802316331,0.8261452353035184,-1.3280490313091535,4.086436736706278,1.2727721982590907,0.67626953125,9,12,4,3,Original letters,Label-only minus random
label_only_minus_random,letter_reversed,0.1582992851941121,1.1001034183887648,1.047093302389007,-2.0434109142521715,5.184666964542913,1.45406740030936,0.6329752604166666,8,12,4,3,Reversed letters,Label-only minus random
mapping_balanced_minus_random,direct_label_completion,4.002612210706705,6.373165486558534,5.719533628259787,2.6533334612665667,13.56149011495662,26.347246322757343,1.0,12,12,4,3,Direct labels,Mapping-balanced minus random
mapping_balanced_minus_random,opaque_completion,1.253661885267017,2.6870974854625964,3.1856777705177697,-5.026265769626688,5.937346198780913,17.73252140638643,0.8844401041666666,11,12,4,3,Opaque codewords,Mapping-balanced minus random
mapping_balanced_minus_random,letter_canonical,1.286226604806466,1.4611086528873176,0.7598820882021136,-2.36672511902487,5.467176548025438,6.301613403261601,0.6979166666666666,10,12,4,3,Original letters,Mapping-balanced minus random
mapping_balanced_minus_random,letter_reversed,1.1845669217097263,1.3262348081738051,2.7075547292890585,-4.932442201855882,5.999064520987711,6.452180551935212,0.7145182291666666,9,12,4,3,Reversed letters,Mapping-balanced minus random
raw_minus_random,direct_label_completion,2.9375981066324237,5.700997088997558,5.65112461447502,1.7667512352190422,11.563775458822844,20.275268881008067,0.9967447916666666,12,12,4,3,Direct labels,Raw minus random
raw_minus_random,opaque_completion,1.3190614413263877,4.840283265486181,3.9276936570961434,1.3544655505026144,9.433011348395873,20.150992295032555,0.9933268229166666,12,12,4,3,Opaque codewords,Raw minus random
raw_minus_random,letter_canonical,4.655837310814403,5.061793260998473,4.546042556607296,3.45309984538906,8.338678707000868,36.18387016686832,1.0,12,12,4,3,Original letters,Raw minus random
raw_minus_random,letter_reversed,-0.0923395134870789,0.1807137061713132,0.520602643736714,-6.245364585705211,7.58778343685476,-3.156014957740245,0.578125,8,12,4,3,Reversed letters,Raw minus random
