method,model_scope,n_models,n_non_source_interfaces,source_interface_current_label_gain,non_source_extraction_slot_mean_gain,non_source_extraction_slot_min_gain,positive_extraction_slot_interfaces,extraction_slot_dominant_interfaces,all_non_source_extraction_slot_positive,all_non_source_extraction_slot_dominant,method_label
caa_residual_stream,all_evaluated_models,4,5,4.628112772303737,3.391849004719924,3.004188347385369,5,5,True,True,CAA residual stream
iti_head_probe,source_interface_competent_models,3,5,7.540399740791569,6.499773525347656,6.257618374270559,5,5,True,True,ITI attention heads
