model_alias,pair_type,layer_index,requested_layer_fraction,resolved_layer_fraction,raw_caa_l2,direction_l2,depth_norm_reference_layer_index,depth_norm_reference_fraction,depth_norm_target_l2,depth_norm_scale,norm_match_absolute_error
gemma2_9b_it,normal_vs_expected,20,0.5,0.4878048780487805,19.50259590148925,104.46337127685548,31,0.75,104.46337127685548,5.356382904333183,0.0
gemma2_9b_it,normal_vs_expected,26,0.625,0.6341463414634146,99.3221435546875,104.46337127685548,31,0.75,104.46337127685548,1.0517631571185049,0.0
gemma2_9b_it,normal_vs_expected,31,0.75,0.7560975609756098,104.46337127685548,104.46337127685548,31,0.75,104.46337127685548,1.0,0.0
gemma2_9b_it,normal_vs_expected,36,0.875,0.8780487804878049,126.55682373046876,104.46337127685548,31,0.75,104.46337127685548,0.825426620213966,0.0
gemma2_9b_it,taboo_vs_expected,20,0.5,0.4878048780487805,22.859375,166.25653076171875,31,0.75,166.25653076171875,7.273012965652768,0.0
gemma2_9b_it,taboo_vs_expected,26,0.625,0.6341463414634146,144.3209228515625,166.25653076171875,31,0.75,166.25653076171875,1.1519918766921795,0.0
gemma2_9b_it,taboo_vs_expected,31,0.75,0.7560975609756098,166.25653076171875,166.25653076171875,31,0.75,166.25653076171875,1.0,0.0
gemma2_9b_it,taboo_vs_expected,36,0.875,0.8780487804878049,203.17413330078125,166.25653076171875,31,0.75,166.25653076171875,0.8182957547828725,0.0
gemma2_9b_it,taboo_vs_normal,20,0.5,0.4878048780487805,22.547401428222656,152.27001953125,31,0.75,152.27001953125,6.7533289818778455,0.0
gemma2_9b_it,taboo_vs_normal,26,0.625,0.6341463414634146,135.4688262939453,152.27001953125,31,0.75,152.27001953125,1.1240225791935987,0.0
gemma2_9b_it,taboo_vs_normal,31,0.75,0.7560975609756098,152.27001953125,152.27001953125,31,0.75,152.27001953125,1.0,0.0
gemma2_9b_it,taboo_vs_normal,36,0.875,0.8780487804878049,184.7598571777344,152.27001953125,31,0.75,152.27001953125,0.8241509917642448,0.0
llama3_1_8b_instruct,normal_vs_expected,16,0.5,0.5161290322580645,1.8975722789764404,3.298133850097656,23,0.75,3.298133850097656,1.7380807501449618,0.0
llama3_1_8b_instruct,normal_vs_expected,19,0.625,0.6129032258064516,2.582752227783203,3.298133611679077,23,0.75,3.298133850097656,1.276984224277863,2.384185786574733e-07
llama3_1_8b_instruct,normal_vs_expected,23,0.75,0.7419354838709677,3.298133850097656,3.298133850097656,23,0.75,3.298133850097656,1.0,0.0
llama3_1_8b_instruct,normal_vs_expected,27,0.875,0.8709677419354839,4.9003777503967285,3.298133850097656,23,0.75,3.298133850097656,0.6730366551498287,0.0
