requested_layer_fraction,mode,metric,mean,ci_low,ci_high,ci_excludes_zero,n_pairs,n_groups,n_strata,n_boot,confidence,inference_unit
0.625,readout_orthogonal_norm_matched,extraction_identifier_effect,-0.0269767522136362,-0.028911289869932,-0.025118711805914,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,readout_orthogonal_norm_matched,extraction_identifier_advantage,-0.05898998800767,-0.0635457538032529,-0.0544365632295444,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,readout_projection_norm_matched,source_interface_effect,0.4342179953428058,0.4229149111187735,0.4453521838267577,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,readout_projection_norm_matched,current_label_effect,0.0617385278154605,0.0541591550758171,0.0689348130697353,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,readout_projection_norm_matched,extraction_identifier_effect,0.2562069817733383,0.2514039377945873,0.260742780698676,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,readout_projection_norm_matched,extraction_identifier_advantage,0.245950078883978,0.2353743399423455,0.25640365861948,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,mean_local_gradient_norm_matched,source_interface_effect,0.5957981648331648,0.5808905326157983,0.6102864724848244,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,mean_local_gradient_norm_matched,current_label_effect,-0.0091986319041922,-0.0196536344259185,0.0010215530752549,False,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,mean_local_gradient_norm_matched,extraction_identifier_effect,0.4168407027548088,0.4119153830004404,0.4217261160173224,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,mean_local_gradient_norm_matched,extraction_identifier_advantage,0.526390028381279,0.5134009135883004,0.539802684301583,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
