mode,component_label,direction_energy_fraction,mean_extraction_identifier_gain,mean_current_label_gain,effect_retention_fraction,mean_js_shift,n_models,n_contrasts,n_mappings
raw_canonical_direction,Raw direction,1.0,0.21505714943228135,0.017917528424720778,1.0,0.11021027817670725,4,3,5
readout_projection_natural,Readout projection,0.15363479684123285,0.20703314536116296,0.01095376797408866,0.9626889685262705,0.10287341250658992,4,3,5
readout_orthogonal_natural,Orthogonal residual,0.8463652032304677,0.00208946500154446,0.00618483301805094,0.009715859282336507,0.00221327613889854,4,3,5
readout_projection_norm_matched,"Projection, norm matched",1.0,0.3902185126187632,0.015369496980743724,1.8144875148251598,0.24389755994923154,4,3,5
readout_orthogonal_norm_matched,"Residual, norm matched",1.0,0.00260791637087624,0.00660778195482026,0.012126620192635997,0.00259665222197384,4,3,5
cov_readout,Readout-subspace random,,0.00894864903253212,0.009264752440086718,0.04161056284878328,0.09068922086344869,4,3,5
