scope,model_alias,model_label,metric,mean,ci_low,ci_high,ci_excludes_zero,n_pairs,n_groups,n_strata,n_boot,confidence,estimand
llama3_1_8b_instruct,llama3_1_8b_instruct,Llama,extraction_id_change,-0.6078845341172484,-0.6119420527017366,-0.6037600037373422,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
llama3_1_8b_instruct,llama3_1_8b_instruct,Llama,id_advantage_reduction,0.6515438918162274,0.6451193929879698,0.6579681248214914,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
mistral7b_instruct_v03,mistral7b_instruct_v03,Mistral,raw_current_label_effect,0.3449392940198619,0.3353219481243644,0.3546396151926056,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
mistral7b_instruct_v03,mistral7b_instruct_v03,Mistral,raw_extraction_id_effect,2.015994368446252,2.005605307151877,2.026550400357902,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
mistral7b_instruct_v03,mistral7b_instruct_v03,Mistral,raw_id_advantage,1.6710550744263901,1.660213366264411,1.6817580408187824,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
mistral7b_instruct_v03,mistral7b_instruct_v03,Mistral,mapping_balanced_current_label_effect,0.1917325659758514,0.1814951936641815,0.20189961779493415,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
mistral7b_instruct_v03,mistral7b_instruct_v03,Mistral,mapping_balanced_extraction_id_effect,0.36274475725515504,0.3589559034346519,0.36653487911236216,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
mistral7b_instruct_v03,mistral7b_instruct_v03,Mistral,mapping_balanced_id_advantage,0.17101219127930342,0.15881175171791914,0.18313546456950477,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
mistral7b_instruct_v03,mistral7b_instruct_v03,Mistral,current_label_change,-0.15320672804401037,-0.16849681747266482,-0.13833875668769824,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
mistral7b_instruct_v03,mistral7b_instruct_v03,Mistral,extraction_id_change,-1.6532496111910977,-1.6623779393552558,-1.6441982336247756,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
mistral7b_instruct_v03,mistral7b_instruct_v03,Mistral,id_advantage_reduction,1.5000428831470867,1.4858726346783035,1.5142653715468977,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
qwen2_5_7b_instruct,qwen2_5_7b_instruct,Qwen,raw_current_label_effect,2.200424957229975,2.161456909244269,2.238537100998569,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
qwen2_5_7b_instruct,qwen2_5_7b_instruct,Qwen,raw_extraction_id_effect,1.5457136731499233,1.5334502202487663,1.558566436508948,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
qwen2_5_7b_instruct,qwen2_5_7b_instruct,Qwen,raw_id_advantage,-0.6547112840800519,-0.6920277241608558,-0.6162053735945036,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
qwen2_5_7b_instruct,qwen2_5_7b_instruct,Qwen,mapping_balanced_current_label_effect,2.963956303027873,2.9135355425573177,3.013025331843683,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
qwen2_5_7b_instruct,qwen2_5_7b_instruct,Qwen,mapping_balanced_extraction_id_effect,0.00035681164597825554,-0.011576579737152978,0.01259484158156163,False,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
qwen2_5_7b_instruct,qwen2_5_7b_instruct,Qwen,mapping_balanced_id_advantage,-2.963599491381894,-3.017206963224477,-2.908288983483173,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
qwen2_5_7b_instruct,qwen2_5_7b_instruct,Qwen,current_label_change,0.7635313457978978,0.7467353055557215,0.7798121519075714,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
qwen2_5_7b_instruct,qwen2_5_7b_instruct,Qwen,extraction_id_change,-1.5453568615039435,-1.5561676897525976,-1.5344063598473658,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
qwen2_5_7b_instruct,qwen2_5_7b_instruct,Qwen,id_advantage_reduction,2.308888207301844,2.285672223184248,2.332241970599773,True,1536,827,3,10000,0.95,equal_stratum_mean_with_setting_behavior_group_cluster_bootstrap
