metric,pair_type,interface,n_model_seed_cells,mean_adjusted_gain,positive_pair_rate,standardized_index,is_source_mapping,mapping_name,permutation_class,option_order,n_moved_slots,metric_code,metric_label
semantic_target_margin,normal_vs_expected,letter_permutation_normal_taboo_expected,20,1.828255826793611,0.99970703125,4.248814549305046,False,permutation_normal_taboo_expected,transposition,"normal,taboo,expected",2,current_label_target,Remapped label
original_slot_margin,normal_vs_expected,letter_permutation_normal_taboo_expected,20,2.789337992543975,0.9998046875,5.0149726703175155,False,permutation_normal_taboo_expected,transposition,"normal,taboo,expected",2,source_slot,Extraction slots
semantic_minus_original_slot,normal_vs_expected,letter_permutation_normal_taboo_expected,20,-0.9610821657503644,0.06279296875,-2.1251448047415606,False,permutation_normal_taboo_expected,transposition,"normal,taboo,expected",2,current_label_minus_source_slot,Remapped - extraction
semantic_target_margin,taboo_vs_normal,letter_permutation_taboo_expected_normal,20,4.577404407644645,1.0,4.807780088529695,False,permutation_taboo_expected_normal,transposition,"taboo,expected,normal",2,current_label_target,Remapped label
original_slot_margin,taboo_vs_normal,letter_permutation_taboo_expected_normal,20,4.880582284772148,1.0,4.8018197514631265,False,permutation_taboo_expected_normal,transposition,"taboo,expected,normal",2,source_slot,Extraction slots
semantic_minus_original_slot,taboo_vs_normal,letter_permutation_taboo_expected_normal,20,-0.3031778771275034,0.43076171875,-0.4858356075670106,False,permutation_taboo_expected_normal,transposition,"taboo,expected,normal",2,current_label_minus_source_slot,Remapped - extraction
semantic_target_margin,taboo_vs_expected,letter_permutation_taboo_expected_normal,20,4.063150063467523,0.9953125,3.6508516433116567,False,permutation_taboo_expected_normal,transposition,"taboo,expected,normal",2,current_label_target,Remapped label
original_slot_margin,taboo_vs_expected,letter_permutation_taboo_expected_normal,20,5.5215848633553835,1.0,4.375809341251845,False,permutation_taboo_expected_normal,transposition,"taboo,expected,normal",2,source_slot,Extraction slots
semantic_minus_original_slot,taboo_vs_expected,letter_permutation_taboo_expected_normal,20,-1.4584347998878608,0.07216796875,-2.502597484795205,False,permutation_taboo_expected_normal,transposition,"taboo,expected,normal",2,current_label_minus_source_slot,Remapped - extraction
semantic_target_margin,normal_vs_expected,letter_permutation_taboo_expected_normal,20,-2.0138496474983794,0.096484375,-4.416237968238018,False,permutation_taboo_expected_normal,transposition,"taboo,expected,normal",2,current_label_target,Remapped label
original_slot_margin,normal_vs_expected,letter_permutation_taboo_expected_normal,20,2.0138496474983794,0.903515625,4.416237968238018,False,permutation_taboo_expected_normal,transposition,"taboo,expected,normal",2,source_slot,Extraction slots
semantic_minus_original_slot,normal_vs_expected,letter_permutation_taboo_expected_normal,20,-4.027699294996759,0.096484375,-4.416237968238018,False,permutation_taboo_expected_normal,transposition,"taboo,expected,normal",2,current_label_minus_source_slot,Remapped - extraction
semantic_target_margin,taboo_vs_normal,letter_reversed,20,1.4010760763970516,0.79775390625,1.3359733243932668,False,reversed_expected_normal_taboo,transposition,"expected,normal,taboo",2,current_label_target,Remapped label
original_slot_margin,taboo_vs_normal,letter_reversed,20,3.845199446457749,1.0,5.619632781206638,False,reversed_expected_normal_taboo,transposition,"expected,normal,taboo",2,source_slot,Extraction slots
semantic_minus_original_slot,taboo_vs_normal,letter_reversed,20,-2.444123370060697,0.12822265625,-3.7922940559378815,False,reversed_expected_normal_taboo,transposition,"expected,normal,taboo",2,current_label_minus_source_slot,Remapped - extraction
semantic_target_margin,taboo_vs_expected,letter_reversed,20,-2.996377117993931,0.16123046875,-3.3635168634207,False,reversed_expected_normal_taboo,transposition,"expected,normal,taboo",2,current_label_target,Remapped label
original_slot_margin,taboo_vs_expected,letter_reversed,20,2.996377118118107,0.83876953125,3.363516863533685,False,reversed_expected_normal_taboo,transposition,"expected,normal,taboo",2,source_slot,Extraction slots
semantic_minus_original_slot,taboo_vs_expected,letter_reversed,20,-5.992754236112038,0.16123046875,-3.363516863477192,False,reversed_expected_normal_taboo,transposition,"expected,normal,taboo",2,current_label_minus_source_slot,Remapped - extraction
semantic_target_margin,normal_vs_expected,letter_reversed,20,1.2138604414959748,0.71455078125,2.0164260612154328,False,reversed_expected_normal_taboo,transposition,"expected,normal,taboo",2,current_label_target,Remapped label
original_slot_margin,normal_vs_expected,letter_reversed,20,2.7137679139462607,0.99921875,4.730962295116253,False,reversed_expected_normal_taboo,transposition,"expected,normal,taboo",2,source_slot,Extraction slots
semantic_minus_original_slot,normal_vs_expected,letter_reversed,20,-1.499907472450286,0.11337890625,-3.062207090896804,False,reversed_expected_normal_taboo,transposition,"expected,normal,taboo",2,current_label_minus_source_slot,Remapped - extraction
