model_alias,model_name,n_mappings,mean_accuracy,min_accuracy,max_accuracy,mean_macro_f1,min_macro_f1,max_macro_f1
gemma2_9b_it,google/gemma-2-9b-it,6,0.4780815972222222,0.4625651041666667,0.4993489583333333,0.4754040220357927,0.4551464977258813,0.5022258968367345
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,6,0.4738498263888889,0.453125,0.4957682291666667,0.4632224685487553,0.4202940379435972,0.4961314210287466
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,6,0.4691840277777778,0.43359375,0.5110677083333334,0.4531607793083923,0.3948245709997491,0.5033568258346519
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,6,0.5130208333333334,0.501953125,0.5218098958333334,0.499454794326814,0.4868684734303192,0.5111553255544924
