metric,interface,mean_adjusted_gain,mean_adjusted_ci_low,mean_adjusted_ci_high,standardized_detectability,standardized_ci_low,standardized_ci_high,positive_pair_rate,positive_pair_rate_ci_low,positive_pair_rate_ci_high,confidence,n_boot,n_pairs,n_contrasts,n_models,n_random_seeds,estimand
original_slot_margin,letter_canonical,4.659515341655868,4.621388738014244,4.697784196282607,4.94149000606827,4.855080118767835,5.053001895654384,1.0,1.0,1.0,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
original_slot_margin,letter_permutation_expected_taboo_normal,3.031974100511676,3.007390182539821,3.057319463616328,4.427921960892726,4.343881005231953,4.532984382713028,0.9402018229166668,0.9373689778645832,0.9431315104166668,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
original_slot_margin,letter_permutation_normal_expected_taboo,3.0800508311632764,3.051433204020691,3.108900690052331,3.9160169206910296,3.8476379340349465,4.004521717463942,0.9708984375,0.9676432291666666,0.9740885416666668,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
original_slot_margin,letter_permutation_normal_taboo_expected,3.5759989482072547,3.549966749068117,3.602371161022925,4.8597844043060645,4.757865478637886,4.996569488621796,0.9672200520833334,0.9644856770833332,0.9699869791666668,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
original_slot_margin,letter_permutation_taboo_expected_normal,4.138672265208636,4.104398143832288,4.173872464841955,4.531289020317663,4.451750742756056,4.634549392991506,0.9678385416666666,0.96435546875,0.97119140625,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
original_slot_margin,letter_reversed,3.1851148261740385,3.1591996214210263,3.210653984392993,4.571370646618859,4.487259173112133,4.674636158898662,0.94599609375,0.9430013020833332,0.9490885416666666,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_minus_original_slot,letter_canonical,-2.8912057932946785e-20,-8.673617379884035e-20,0.0,,,,0.0,0.0,0.0,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_minus_original_slot,letter_permutation_expected_taboo_normal,-3.3571006009807918,-3.400590869062289,-3.312788629846957,-3.281811503917105,-3.363197869371794,-3.2141059071118803,0.1386393229166666,0.1351888020833333,0.14225341796875,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_minus_original_slot,letter_permutation_normal_expected_taboo,-4.074515360267186,-4.126585521771712,-4.022886015532486,-3.0318032457676147,-3.1088923783010625,-2.9714654958759468,0.1040690104166666,0.09814453125,0.1099943033854166,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_minus_original_slot,letter_permutation_normal_taboo_expected,-2.88480047704458,-2.923564293232177,-2.8454463491802096,-2.856955443410595,-2.9563139614947365,-2.781588598970472,0.1099609375,0.1045247395833333,0.1158203125,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_minus_original_slot,letter_permutation_taboo_expected_normal,-1.929770657337374,-1.959428933837658,-1.9008864542791468,-2.4682236868667453,-2.541359776754444,-2.4111802136022367,0.1998046875,0.1929036458333333,0.206640625,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_minus_original_slot,letter_reversed,-3.3122616928743405,-3.357372911729488,-3.265699141723001,-3.406006003437293,-3.4876630440353256,-3.3417159826672096,0.13427734375,0.12942626953125,0.1392903645833333,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_target_margin,letter_canonical,4.659515341655868,4.621081593715482,4.697890076877472,4.94149000606827,4.855865313211568,5.051530789093528,1.0,1.0,1.0,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_target_margin,letter_permutation_expected_taboo_normal,-0.325126500469115,-0.3490396941052233,-0.3005815647642081,-1.317879464392121,-1.391645316385681,-1.2531079628884736,0.3690755208333334,0.36389892578125,0.3743489583333332,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_target_margin,letter_permutation_normal_expected_taboo,-0.99446452910391,-1.022567061594584,-0.9660226839384995,-1.5864460815649,-1.6543177255724637,-1.5301352224247091,0.2456380208333333,0.2351236979166666,0.2563151041666667,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_target_margin,letter_permutation_normal_taboo_expected,0.6911984711626752,0.6665984119560263,0.7154112634060182,1.4106731815654687,1.3236228851105545,1.5044812501990554,0.6938802083333333,0.6908854166666667,0.6968098958333333,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_target_margin,letter_permutation_taboo_expected_normal,2.208901607871263,2.1750323950341497,2.2435617787807454,1.3474645878677771,1.2545586796408184,1.4427568980128167,0.697265625,0.6937825520833334,0.7008138020833332,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_target_margin,letter_reversed,-0.1271468667003015,-0.1534996809123549,-0.1009699811884717,-0.0037058259373332,-0.0727490402867509,0.0676590860360087,0.5578450520833333,0.5506510416666667,0.5647143554687499,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
