interface,original_slot_margin__mean_adjusted_ci_high,semantic_minus_original_slot__mean_adjusted_ci_high,semantic_target_margin__mean_adjusted_ci_high,original_slot_margin__mean_adjusted_ci_low,semantic_minus_original_slot__mean_adjusted_ci_low,semantic_target_margin__mean_adjusted_ci_low,original_slot_margin__mean_adjusted_gain,semantic_minus_original_slot__mean_adjusted_gain,semantic_target_margin__mean_adjusted_gain,original_slot_margin__positive_pair_rate,semantic_minus_original_slot__positive_pair_rate,semantic_target_margin__positive_pair_rate,original_slot_margin__standardized_ci_high,semantic_minus_original_slot__standardized_ci_high,semantic_target_margin__standardized_ci_high,original_slot_margin__standardized_ci_low,semantic_minus_original_slot__standardized_ci_low,semantic_target_margin__standardized_ci_low,original_slot_margin__standardized_detectability,semantic_minus_original_slot__standardized_detectability,semantic_target_margin__standardized_detectability,mapping_name,option_a_label,option_b_label,option_c_label,option_order,is_source_mapping,n_moved_slots,permutation_class,semantic_detected,original_slot_detected,semantic_exceeds_original_slot,original_slot_exceeds_semantic,evidence_signature
letter_permutation_expected_taboo_normal,3.0294812596527243,-3.2878167877952937,-0.3053146197659791,2.9799880357135806,-3.3749677238885,-0.3507076906965164,3.004188347385369,-3.331712069828063,-0.3275237224426947,0.9376302083333332,0.1410481770833333,0.3669921875,4.542547495002613,-3.234580419608188,-1.233899355286744,4.333775903973903,-3.40320484827098,-1.3843774734317416,4.425225709111483,-3.309583476936586,-1.3028969952550202,permutation_expected_taboo_normal,expected,taboo,normal,"expected,taboo,normal",False,3,three_cycle,False,True,False,True,original_slot_dominant
letter_permutation_normal_expected_taboo,3.102490365575036,-3.988245553088878,-0.9388869643484292,3.0457012786753737,-4.092753872566261,-0.994387442249184,3.0740965698612848,-4.041200553959546,-0.9671039840982606,0.9756510416666666,0.0911783854166666,0.2263346354166666,4.003710202051188,-2.9822396909376168,-1.5574834675609062,3.846779009125912,-3.1158096078118085,-1.667381167825991,3.914998035830154,-3.040703776293363,-1.6091031371391138,permutation_normal_expected_taboo,normal,expected,taboo,"normal,expected,taboo",False,3,three_cycle,False,True,False,True,original_slot_dominant
letter_permutation_normal_taboo_expected,4.021326093365399,-1.7717121697407374,2.213668942071575,3.963686320623383,-1.8290190814759504,2.168045965664981,3.991898226117095,-1.8009813276740414,2.190916898443053,1.0,0.0984375,0.982470703125,5.840844952403506,-2.635383516655275,3.871543208947723,5.534696831060684,-2.870505152022577,3.6710520839126977,5.6652193274279,-2.7403010079513965,3.7588180953541306,permutation_normal_taboo_expected,normal,taboo,expected,"normal,taboo,expected",False,2,transposition,True,True,False,True,original_slot_dominant
letter_permutation_taboo_expected_normal,5.207867492265068,-0.8340554033588463,4.351950333803155,5.11124664040845,-0.8774496619758427,4.255971006411516,5.159606453535767,-0.8556092033938815,4.303997250141887,1.0,0.235546875,0.999169921875,4.744775147292802,-1.500364191172755,4.385863022400175,4.51736453824704,-1.6027168971516703,4.13739867737502,4.618592120225797,-1.54744714996803,4.248917145898925,permutation_taboo_expected_normal,taboo,expected,normal,"taboo,expected,normal",False,2,transposition,True,True,False,True,original_slot_dominant
letter_reversed,3.349433827735484,-1.8037302478152564,1.516670546922833,3.3025862487357025,-1.8604392805376364,1.4718189241983537,3.3260320881653267,-1.831945862461968,1.4940862257033587,0.998779296875,0.11044921875,0.809765625,5.443024778363985,-3.2196177202985554,2.2041397369664466,5.169055912761439,-3.4091448280106045,2.0003140097464134,5.289346732304932,-3.3057984828188465,2.094279887069541,reversed_expected_normal_taboo,expected,normal,taboo,"expected,normal,taboo",False,2,transposition,True,True,False,True,original_slot_dominant
